NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Line_1,Line_2,cost,emissions,cost_1,emissions_1,cost_2,emissions_2,cost_3,emissions_3
106.062,662.983,1768.002,7077.299971200426,2684.796187876592,302.7006910820684,62.70399847532838,0.5999905701683751,0.01149480499051947,29.999999975827052,145.7999927392588,186.355,821.399935095316,27.248,67.7,30.999,3488.701804254381,35.19924989995605,433.9993970074636,124.89956833552522,2162.8933244488567,6.499993735345759,18.711,374.59993267329696,24.95,327.81,274.4973244808624,1114.0966675562902,163.49998410282308,1190.8999725304782,195.266,11.79999337274116,0.0,607.213086273318,461.1889497866985,216.10543717524314,0.0,1663.2811586827615,2378.6003117925943,4970.002044521646,0.0,555.1298042507175,458.12445465134124,0.13127297358311105,0.0,0.0008036441116239104,0.002045809650110312,0.0005154475480027653,0.0,2241.6625635996525,460.5029687271622,0.228393670971467,0.0,0.016842129621249417,0.0035243854542262192,165.52,47.27,22.56,5.0079e-5,2.5413306e-6,5.200982844831453e9,2.13463e7,3.16625784093501e9,6.0139275e6,1.2306975327754889e9,8.24849e6,7.560974478436561e8,7.0838815e6
106.062,662.983,1768.002,7077.299508675617,2684.8017355845095,302.70035404021996,62.70372190069221,0.5998748144298632,0.003495864087099676,29.9999880623658,145.7999998993651,186.355,821.3999698771073,27.248,67.7,30.999,3488.702393364048,35.19974865546916,433.9998893172012,124.89950600526632,0.005510685435528018,6.499938916226744,18.711,374.59997160840135,24.95,327.81,274.4994016606808,1114.0988804630622,163.4998381131348,1190.8999999915357,195.266,11.799969471893492,0.0,0.33388345148120363,538.4829128913649,0.008970656502919212,0.0,1663.297065451818,5101.164632599339,4970.000114651827,0.0,2535.120286119943,538.7618917078563,0.00875023606934273,0.0,0.00035000526340706013,0.08426857584305197,0.0002149334201098553,0.0,2076.324144921011,538.7459656645417,0.008874469736508094,0.0,0.004343090793451959,245.76812365178853,165.52,47.27,22.56,1.6414243e-9,2.1221351e-7,5.305002839662996e9,2.5187388e7,3.353625457998678e9,5.088364e6,1.1855099469261014e9,1.3676834e7,7.354263041176301e8,6.4221895e6
106.062,662.983,1768.002,7077.298601278626,2684.802374072856,302.7009957812276,62.70397581694379,0.599984097873104,46.34862076935531,29.999997155251332,145.79999941932348,186.355,821.3999998096021,27.248,67.7,30.999,3488.7036146313985,35.199937559639274,433.9999960181143,124.89998771378815,2162.8995227706505,6.499964538719639,18.711,0.012184185712527107,24.95,327.81,274.49997143767047,1114.0999466019994,163.49993686207154,1190.8999798886175,195.266,11.799282906252182,0.0,395.14556596165846,443.3029086085687,678.7090457125648,0.0,0.01565031341297106,2378.6039418505497,6361.872164322465,0.0,491.66404165439,439.40194184423177,0.11642906251335834,0.0,0.0006738944454872136,0.0010086187661065653,0.0006039439686014144,0.0,2089.994290612869,440.0293849237364,0.1579467484266016,0.0,271.4122059735049,0.0014238690424785768,165.52,47.27,22.56,5.3630238e-8,2.1249122e-9,5.3050034041447315e9,2.0124314e7,3.2165149398218217e9,5.2940295e6,1.2109130760116427e9,8.1786425e6,7.862972039810278e8,6.6516425e6
106.062,662.983,1768.002,7077.29955650825,2684.8007008221753,302.6987421856155,62.703397502015896,0.5993181390488236,0.023826813932315005,29.99995382444643,145.79999957132014,186.355,821.3999998572083,27.248,67.7,30.999,3488.7009010062316,35.19961289949912,433.99936948554614,124.89843820574005,2162.895848147151,6.499966772134121,18.711,374.59985018265917,24.95,327.81,274.4985262738943,1114.0972785839049,163.49944112311942,1190.8997983581555,195.266,11.799835626417394,0.0,556.4173652832003,509.3619527137735,152.32674049677001,0.0,1663.3065046820193,2378.6161093103533,4970.000075804098,0.0,478.04289292185445,505.3248139317227,0.1941851991438831,0.0,574.4252785100936,0.016921673344437383,0.0043890407532747025,0.0,2240.6924267493514,504.4487613043261,0.2766686084107628,0.0,0.016432308580340803,0.014313854099096055,165.52,47.27,22.56,9.750742e-5,2.1195516e-9,5.305002502271685e9,2.1040774e7,3.1595283045779376e9,5.970663e6,1.3416845724247088e9,8.017067e6,7.580233278997544e8,7.053044e6
106.062,662.983,1768.002,7053.677607130766,2667.304406395232,300.0367243727026,60.98041827262074,0.5829801123746132,88.77776167098594,29.87700623058852,145.79773838675177,186.355,821.2766414790586,27.248,67.7,30.999,3479.5497387625196,34.776561402850966,433.46989009242145,123.9841095528977,2152.352788771206,2.7156355280819056e-6,18.711,374.4551372005958,24.95,327.81,274.20380405241366,1112.2750870235643,161.05677761041886,1190.380208042584,195.266,11.707990050342616,0.0,550.4555595139091,499.73223390705857,87.19900786955078,0.0,1509.2097683767108,2427.3637836631765,5026.182117530151,0.0,582.6938699646505,494.20330728213867,148.41319574833497,0.0,7.351467809678315e-6,38.807060478540045,1.122585848462184e-5,0.0,1919.6845398870405,505.3502918513333,118.16296699919356,0.0,98.55316160322019,53.696192091620375,165.52,47.27,22.56,0.003596279,0.0055671646,5.305002501731412e9,2.2100292e7,3.2279958244319725e9,6.820445e6,1.2427747684363668e9,8.3573185e6,7.492810700306456e8,6.9225285e6
106.062,662.983,1768.002,7077.292764331948,2684.7987948624914,302.7009755636147,62.703925845920466,0.5999753261275466,0.02510177002901237,29.999995218653986,145.799999866109,186.355,821.3999998673837,27.248,67.7,30.999,3488.7021640333182,35.1997249118902,433.9992308878589,124.8999604788204,2162.8932908198444,6.49998202848934,18.711,374.59982854151207,24.95,327.81,274.49988975322754,1114.0996500994227,163.49990892218437,1190.8999675934172,195.266,11.799870633232102,0.0,1.366679875753781,85.94602491959317,1134.8990352380924,0.0,1663.2744123141892,5190.987711278595,4970.007461169102,0.0,503.85189624635416,85.81020649355202,0.3679768102845624,0.0,0.003443991495901231,0.06150835410423963,0.0009033106054232918,0.0,2178.5540581841065,85.67795439824316,0.6269179912150812,0.0,0.022088295654997498,97.85580270044605,165.52,47.27,22.56,8.987613e-9,1.3011046e-6,5.305002768446404e9,1.885242e7,3.281555658315663e9,4.0745942e6,1.1784559428846412e9,7.9623895e6,7.133514600898645e8,6.8154365e6
106.062,662.983,1768.002,7077.2992642591225,2684.8022424469823,302.70093371235987,62.70394168545656,0.5999915358464724,0.002945439699919561,29.99999686655925,145.79999994298262,186.355,821.3999970256252,27.248,67.7,30.999,3488.703619680039,35.19998705900702,433.9999992064577,124.89998266919847,2162.8997099691983,0.000641127535432745,18.711,374.5999919960021,24.95,327.81,274.49998685532705,1114.0999391451924,163.49993198729058,1190.8999999473613,195.266,11.7999937831504,0.0,283.5550293265171,739.1477491576688,0.0026831782731076385,0.0,0.0007528098068650634,2378.6000393397208,6633.299198158099,0.0,408.5452087535063,727.3407672594092,0.003064514249093943,0.0,0.00013419742340602036,0.00032475172600629227,0.00016834853899008493,0.0,2192.7561286579535,728.3014695859802,0.0030090213675528247,0.0,0.00044461961148076944,0.0003145453000177827,165.52,47.27,22.56,1.3149962e-7,1.3465784e-7,5.30500261118603e9,1.9989548e7,3.304384268990778e9,5.4547005e6,1.2091710063906133e9,7.806498e6,7.547183997121518e8,6.72835e6
106.062,662.983,1768.002,7077.299312221831,2684.802563165029,302.7009972125606,62.70398986658453,0.599996619200634,1241.9999999640333,29.99999963213503,145.7999999764649,186.355,821.3999999652434,27.248,67.7,30.999,3488.7038107271533,35.19995512433802,433.99991748910884,124.89999499374758,2162.8999867687853,6.499998115472741,18.711,374.5999864451011,24.95,327.81,274.4999874956872,1114.0999659252766,163.4999902255051,1190.8999973602301,195.266,11.799989511342044,0.0,0.029252731779672105,195.47635625019655,322.74824066522007,0.0,1663.296599972751,2600.999478072349,4970.000005156053,0.0,435.66823201367595,193.70252088017568,0.02013085493937119,0.0,0.0003170523048817165,0.0027946553881715917,0.00012410192428536214,0.0,1725.0905394905888,194.2063419700142,0.05021873484308136,0.0,0.003400090957829113,1108.8480066331902,165.52,47.27,22.56,4.4954746e-7,8.9986673e-7,5.30500251334026e9,1.6482268e7,3.371793688070078e9,3.2967935e6,1.1526276846927845e9,7.58563e6,7.135720885137749e8,5.5998435e6
106.062,662.983,1768.002,7077.299653386995,2684.8027132183347,302.700958239275,62.70396163380966,0.5999929328474122,0.0009799427314050035,29.99999771081329,145.79999994365707,186.355,821.3999973338318,27.248,67.7,30.999,3488.703832769611,35.199988375703725,433.9999994590382,124.89998732868692,0.0016716801907179502,0.003437837315933834,18.711,374.5999962778662,24.95,327.81,274.49999105888867,1114.0999668265256,163.49995625585134,1190.8999841026061,195.266,11.799995666987368,0.0,247.30239168394723,759.5680787608287,0.008225430630101864,0.0,234.53843385795972,2378.600005189417,6398.759437786305,0.0,2533.1982330908872,734.8355580924292,0.006168701367214499,0.0,8.836419006577353e-5,0.00021500268110006212,8.486881667923642e-5,0.0,2179.8284217025544,739.4332907600235,0.006761949147644754,0.0,0.0021462476376214908,0.00032879357763239777,165.52,47.27,22.56,3.3654496e-10,1.429908e-8,5.3050026278869e9,2.6487892e7,3.299895870234497e9,5.802749e6,1.2155169355772908e9,1.3947053e7,7.546261831222922e8,6.738089e6
106.062,662.983,1768.002,7075.989902535686,2680.6321672161307,296.30475200088966,60.303040073384324,0.5124577135468606,7.291944825738028e-10,29.890266987965937,145.7982333079152,186.355,821.3371447273873,27.248,67.7,30.999,3481.9998633874056,33.60550748202606,433.3417729017977,119.8406952132859,4.933831121434196e-10,6.331893204931977,18.711,2.0339285811132868e-10,24.95,327.81,267.82185312232684,1107.197758345824,162.17849412286716,1190.3163871505394,195.266,2.4908894391550973e-11,0.0,674.9801909371398,538.9376819985116,79.55900478780937,0.0,1613.1638278649104,2378.662855272615,4983.812201383176,0.0,2623.97223921702,543.1242609156238,106.79474448365497,0.0,7.301385771285658,3.096493342489201e-11,4.690818392747467,0.0,2086.295375271732,540.024655611882,112.650980993328,0.0,52.375757519190934,3.116092588708918e-11,165.52,47.27,22.56,0.012444171,1.3783758e-6,5.305002501956855e9,2.8522374e7,3.221762476313561e9,6.8129885e6,1.241850807441712e9,1.4523156e7,7.674969987706571e8,7.18623e6
